code,subject_1,subject_2,subject_3,display_name,is_verified
M10,,,,Tổ hợp M10,false
N00,,,,Tổ hợp N00,true
N05,,,,Tổ hợp N05,true
N06,,,,Tổ hợp N06,true
Q00,,,,Tổ hợp Q00,true
R00,,,,Tổ hợp R00,true
R05,,,,Tổ hợp R05,false
R06,,,,Tổ hợp R06,false
R07,,,,Tổ hợp R07,false
R08,,,,Tổ hợp R08,false
R09,,,,Tổ hợp R09,false
R11,,,,Tổ hợp R11,false
R12,,,,Tổ hợp R12,false
R13,,,,Tổ hợp R13,false
R15,,,,Tổ hợp R15,false
R16,,,,Tổ hợp R16,false
R17,,,,Tổ hợp R17,false
R18,,,,Tổ hợp R18,false
R19,,,,Tổ hợp R19,false
R20,,,,Tổ hợp R20,false
R21,,,,Tổ hợp R21,false
R22,,,,Tổ hợp R22,false
R23,,,,Tổ hợp R23,false
R24,,,,Tổ hợp R24,false
R25,,,,Tổ hợp R25,false
R26,,,,Tổ hợp R26,false
R27,,,,Tổ hợp R27,false
S00,,,,Tổ hợp S00,true
T00,,,,Tổ hợp T00,true
T01,,,,Tổ hợp T01,true
T02,,,,Tổ hợp T02,false
T05,,,,Tổ hợp T05,false
T08,,,,Tổ hợp T08,true
T09,,,,Tổ hợp T09,false
T10,,,,Tổ hợp T10,false
T11,,,,Tổ hợp T11,false
T49,,,,Tổ hợp T49,false
V00,,,,Tổ hợp V00,true
V01,,,,Tổ hợp V01,true
V02,,,,Tổ hợp V02,true
V03,,,,Tổ hợp V03,false
V05,,,,Tổ hợp V05,true
V06,,,,Tổ hợp V06,true
V10,,,,Tổ hợp V10,true
X01,,,,Tổ hợp X01,true
X02,,,,Tổ hợp X02,true
X03,,,,Tổ hợp X03,true
X04,,,,Tổ hợp X04,true
X05,,,,Tổ hợp X05,true
X06,,,,Tổ hợp X06,true
X07,,,,Tổ hợp X07,true
X08,,,,Tổ hợp X08,true
X09,,,,Tổ hợp X09,true
X10,,,,Tổ hợp X10,true
X11,,,,Tổ hợp X11,false
X12,,,,Tổ hợp X12,false
X13,,,,Tổ hợp X13,true
X14,,,,Tổ hợp X14,false
X15,,,,Tổ hợp X15,false
X16,,,,Tổ hợp X16,false
X17,,,,Tổ hợp X17,false
X18,,,,Tổ hợp X18,true
X21,,,,Tổ hợp X21,true
X22,,,,Tổ hợp X22,true
X23,,,,Tổ hợp X23,false
X24,,,,Tổ hợp X24,false
X25,,,,Tổ hợp X25,true
X26,,,,Tổ hợp X26,true
X27,,,,Tổ hợp X27,true
X28,,,,Tổ hợp X28,true
X37,,,,Tổ hợp X37,false
X53,,,,Tổ hợp X53,true
X56,,,,Tổ hợp X56,true
X57,,,,Tổ hợp X57,false
X58,,,,Tổ hợp X58,false
X62,,,,Tổ hợp X62,false
X70,,,,Tổ hợp X70,true
X71,,,,Tổ hợp X71,true
X74,,,,Tổ hợp X74,true
X78,,,,Tổ hợp X78,true
X79,,,,Tổ hợp X79,true
X80,,,,Tổ hợp X80,false
X90,,,,Tổ hợp X90,false
Y09,,,,Tổ hợp Y09,false
