id,university_program_id,admission_method_code,effective_year,quota,source
b01dc2c2-239e-584d-a6e6-e78ea2d2e27c,001963a4-e072-56ef-8e50-8b5fcdd83a3c,DGNL_HN,2026,185,tuyensinh247
1f9b9a5c-257c-57b9-8762-8f2a8f1290a4,001963a4-e072-56ef-8e50-8b5fcdd83a3c,DGTD,2026,185,tuyensinh247
03f3daf5-f7c0-5dbc-a423-3b38329f57fb,001963a4-e072-56ef-8e50-8b5fcdd83a3c,THPT,2026,185,tuyensinh247
0fbdf32a-6615-52b6-b824-f42e2b6c9c71,006dd7fb-b60e-50dd-9495-e60d45286c16,DGNL_HN,2026,70,tuyensinh247
47b9dba5-cfb9-5e2a-840b-a1ca17253373,006dd7fb-b60e-50dd-9495-e60d45286c16,DGTD,2026,70,tuyensinh247
97adace4-92f7-58f1-9c81-593ca02586db,006dd7fb-b60e-50dd-9495-e60d45286c16,HBA,2026,70,tuyensinh247
859cbd54-c79f-54f2-9f8d-101434ca7e55,006dd7fb-b60e-50dd-9495-e60d45286c16,THPT,2026,70,tuyensinh247
e885c404-f35b-5c04-941b-3fc8bdb9907b,0070959e-41cc-526d-b820-9f9443f25e8a,DGNL_HN,2026,60,tuyensinh247
037a790b-ae76-5988-96c7-600b7980a8ee,0070959e-41cc-526d-b820-9f9443f25e8a,DGTD,2026,60,tuyensinh247
f5a568f5-7c00-54d0-8c08-68619933ef0e,0070959e-41cc-526d-b820-9f9443f25e8a,THPT,2026,60,tuyensinh247
85967914-d4fe-5951-9c56-5f5b40c08b41,00b03a6b-e1eb-54cd-ab41-914b321643b5,DGNL_HN,2026,960,tuyensinh247
6b4db7e3-1f91-5f50-b662-3fb5e34995a6,00b03a6b-e1eb-54cd-ab41-914b321643b5,DGTD,2026,960,tuyensinh247
f75a980b-fcd0-5966-8205-f7d5753fb0c3,00b03a6b-e1eb-54cd-ab41-914b321643b5,THPT,2026,960,tuyensinh247
85768210-a16f-5480-b491-5829394d399d,00d0aa18-2710-561c-a5f1-541173fd94bd,DGNL_HCM,2026,230,tuyensinh247
74f114ef-76e9-5f00-84a2-3f837ef70dfd,00d0aa18-2710-561c-a5f1-541173fd94bd,THPT,2026,230,tuyensinh247
a3b508e5-1150-5e43-82ea-fa153e1078de,00d17996-76cb-59b6-8b00-52ac815cd0a7,DGNL_HN,2026,,tuyensinh247
b03c9af9-e225-5d19-bd4e-a8936647fded,00d17996-76cb-59b6-8b00-52ac815cd0a7,DGTD,2026,,tuyensinh247
71228fb4-c8a3-5d16-859e-6a6505d52467,00d17996-76cb-59b6-8b00-52ac815cd0a7,THPT,2026,,tuyensinh247
734b5b30-e4b3-54a5-b4a2-02faf3fc8ce7,0144bd3d-9b7b-510c-9523-61d42737fcfd,DGNL_HN,2026,,tuyensinh247
a05a1b68-6173-5b3c-ab29-a73c030cc92e,0144bd3d-9b7b-510c-9523-61d42737fcfd,DGTD,2026,,tuyensinh247
7b0a0fad-6185-5e43-a823-7ea45b5d28fc,0144bd3d-9b7b-510c-9523-61d42737fcfd,THPT,2026,,tuyensinh247
e8c78b4a-2830-5aeb-acdc-94ce34ae1fe5,014815f5-c395-5282-9ad3-818aa4b06e3c,DGNL_HN,2026,210,tuyensinh247
a6a1033f-e13f-5671-8d7c-225347de4644,014815f5-c395-5282-9ad3-818aa4b06e3c,THPT,2026,210,tuyensinh247
b972f2ea-12a0-5920-b37a-e88f881669c4,014815f5-c395-5282-9ad3-818aa4b06e3c,XTT,2026,210,tuyensinh247
21cbac19-9ecd-5a4a-94f8-ea3bedea7a22,0152cd63-9b94-5eb5-b3a0-342dcc524b23,DGTD,2026,70,tuyensinh247
0295b7e9-14cc-5135-b5a5-b1902c88775f,0152cd63-9b94-5eb5-b3a0-342dcc524b23,THPT,2026,70,tuyensinh247
2953333d-ef95-5898-aa01-336fef9d580a,018eb627-c517-56d1-ad8b-f32573c56f43,DGNL_HN,2026,120,tuyensinh247
b780020c-1b76-5ea8-819b-98a4a8b4a2ce,018eb627-c517-56d1-ad8b-f32573c56f43,DGTD,2026,120,tuyensinh247
c0e55c54-201e-5e34-8d83-378263384eb3,018eb627-c517-56d1-ad8b-f32573c56f43,THPT,2026,120,tuyensinh247
56da92c9-9214-5838-9f22-3d30888fe348,01b78a75-6712-5cd2-9d0d-ae658f5f56c1,DGNL_HN,2026,120,tuyensinh247
6ae07362-e40c-5371-b8d0-a890172915f5,01b78a75-6712-5cd2-9d0d-ae658f5f56c1,THPT,2026,120,tuyensinh247
99b19ab5-1ddc-5bc9-9490-c44cba7325dc,01cacded-e9a7-5d7b-957e-02fa43f4713c,DGNL_HN,2026,100,tuyensinh247
a9a69a88-e3c6-5a88-8525-ed8a19e20141,01cacded-e9a7-5d7b-957e-02fa43f4713c,DGTD,2026,100,tuyensinh247
f0566f58-ffe6-5d8f-a8e2-7003d1df2827,01cacded-e9a7-5d7b-957e-02fa43f4713c,THPT,2026,100,tuyensinh247
ee61c2ea-3899-546d-85ef-fef6b51ff48f,01de8ab8-16f9-570f-8a09-f1a218990099,DGNL_HN,2026,280,tuyensinh247
4f6341f8-720d-5c82-98d2-7ded6ca0e7ac,01de8ab8-16f9-570f-8a09-f1a218990099,DGTD,2026,280,tuyensinh247
2c61cf86-9f2e-56df-bfad-8a8ec37cd9ac,01de8ab8-16f9-570f-8a09-f1a218990099,THPT,2026,280,tuyensinh247
2448b9d4-72c0-5d14-b1ae-e06535bcafef,01e2ceef-ab06-562d-bb01-d8c633fecc66,DGNL_HN,2026,60,tuyensinh247
8af645e0-97c3-5f99-a101-987f84332c0c,01e2ceef-ab06-562d-bb01-d8c633fecc66,DGTD,2026,60,tuyensinh247
fa21ebfd-cf1c-5ef3-87fc-629ffc76f0de,01e2ceef-ab06-562d-bb01-d8c633fecc66,THPT,2026,60,tuyensinh247
b4943771-9a30-53ca-b6e8-4b70b4ca20e6,01e334b5-c469-55d5-91e9-06dbf97d5471,DGNL_HN,2026,100,tuyensinh247
